neighbourhood_cleansed,latitude,longitude
"Union Station, Stanton Park, Kingman Park",38.89689,-76.99644
"Dupont Circle, Connecticut Avenue/K Street",38.9037,-77.04855
"Capitol Hill, Lincoln Park",38.88277,-77.00837
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9171,-77.00075
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Colonial Village, Shepherd Park, North Portal Estates",38.98661,-77.03505
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92398,-77.0312
"Capitol Hill, Lincoln Park",38.89013,-77.00026
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90641,-77.01277
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90588,-77.01133
"Friendship Heights, American University Park, Tenleytown",38.9499,-77.09267
"Mayfair, Hillbrook, Mahaning Heights",38.90038,-76.94362
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91415,-77.04986
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92696,-77.05303
"Shaw, Logan Circle",38.91175,-77.02832
"Douglas, Shipley Terrace",38.84348,-76.97886
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92865,-77.04022
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92365,-76.99386
"Takoma, Brightwood, Manor Park",38.96696,-77.0249
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92245,-77.04053
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92394158046773,-77.02475935089437
"Brightwood Park, Crestwood, Petworth",38.9383,-77.02306
"Georgetown, Burleith/Hillandale",38.9147,-77.06922
"Capitol Hill, Lincoln Park",38.88196,-76.99618
"Dupont Circle, Connecticut Avenue/K Street",38.91391,-77.04235
"Capitol Hill, Lincoln Park",38.88488,-76.98904
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92986,-77.04216
"Capitol Hill, Lincoln Park",38.88152,-77.0003
